timestamp,count,density,smoothed
2026-04-26T09:30:06.415775+00:00,43,High,42.9
2026-04-26T09:30:06.993663+00:00,74,High,73.53
2026-04-26T09:30:07.471108+00:00,94,High,94.071
2026-04-26T09:30:07.916066+00:00,108,High,108.4497
2026-04-26T09:30:08.352879+00:00,119,High,118.51479
2026-04-26T09:30:08.786413+00:00,126,High,125.56035299999999
2026-04-26T09:30:09.219427+00:00,130,High,130.19224709999997
2026-04-26T09:30:09.679379+00:00,134,High,133.73457297
2026-04-26T09:30:10.109764+00:00,136,High,136.214201079
2026-04-26T09:30:10.547999+00:00,138,High,137.64994075529998
2026-04-26T09:30:10.971520+00:00,138,High,138.05495852871
2026-04-26T09:30:11.414110+00:00,139,High,138.638470970097
2026-04-26T09:30:12.068454+00:00,139,High,138.74692967906788
2026-04-26T09:30:12.666137+00:00,140,High,140.0228507753475
2026-04-26T09:30:13.135386+00:00,139,High,139.41599554274325
2026-04-26T09:30:13.585392+00:00,139,High,138.99119687992027
2026-04-26T09:30:14.025282+00:00,138,High,138.39383781594418
2026-04-26T09:30:14.480513+00:00,138,High,137.67568647116093
2026-04-26T09:30:14.940924+00:00,137,High,137.17298052981266
2026-04-26T09:30:15.385067+00:00,137,High,137.12108637086885
2026-04-26T09:30:15.869346+00:00,138,High,137.68476045960819
2026-04-26T09:30:16.386884+00:00,139,High,138.67933232172572
2026-04-26T09:30:16.861485+00:00,139,High,138.775532625208
2026-04-26T09:30:17.320078+00:00,139,High,139.4428728376456
2026-04-26T09:30:17.763486+00:00,139,High,139.31001098635193
2026-04-26T09:30:18.200391+00:00,141,High,140.71700769044634
2026-04-26T09:30:18.632926+00:00,141,High,141.40190538331242
2026-04-26T09:30:19.061203+00:00,141,High,141.2813337683187
2026-04-26T09:30:19.502927+00:00,140,High,139.69693363782307
2026-04-26T09:30:19.957498+00:00,140,High,139.78785354647613
2026-04-26T09:30:20.387264+00:00,139,High,138.95149748253328
2026-04-26T09:30:20.881277+00:00,139,High,138.66604823777328
2026-04-26T09:30:21.361508+00:00,138,High,138.16623376644128
2026-04-26T09:30:21.814121+00:00,138,High,138.11636363650888
2026-04-26T09:30:22.262257+00:00,137,High,136.5814545455562
2026-04-26T09:30:22.695535+00:00,136,High,136.10701818188932
2026-04-26T09:30:23.146442+00:00,137,High,136.9749127273225
2026-04-26T09:30:23.601620+00:00,138,High,138.48243890912576
2026-04-26T09:30:24.049190+00:00,140,High,139.837707236388
2026-04-26T09:30:24.511974+00:00,141,High,141.0863950654716
2026-04-26T09:30:24.957901+00:00,142,High,141.6604765458301
2026-04-26T09:30:25.409564+00:00,142,High,142.36233358208108
2026-04-26T09:30:25.838675+00:00,142,High,141.65363350745673
2026-04-26T09:30:26.285252+00:00,141,High,141.4575434552197
2026-04-26T14:32:08.163843+00:00,43,High,42.9
2026-04-26T14:32:08.658398+00:00,74,High,73.53
2026-04-26T14:32:09.105495+00:00,94,High,94.071
2026-04-26T14:32:09.528405+00:00,108,High,108.4497
2026-04-26T14:32:09.970953+00:00,119,High,118.51479
2026-04-26T14:32:10.420611+00:00,126,High,125.56035299999999
2026-04-26T14:32:10.893674+00:00,130,High,130.19224709999997
2026-04-26T14:32:11.393997+00:00,134,High,133.73457297
2026-04-26T14:32:11.867569+00:00,136,High,136.214201079
2026-04-26T14:32:12.330294+00:00,138,High,137.64994075529998
2026-04-26T14:32:12.762448+00:00,138,High,138.05495852871
2026-04-26T14:32:13.227572+00:00,139,High,138.638470970097
2026-04-26T14:32:13.724295+00:00,139,High,138.74692967906788
2026-04-26T14:32:14.182277+00:00,140,High,140.0228507753475
2026-04-26T14:32:14.631562+00:00,139,High,139.41599554274325
2026-04-26T14:32:15.067394+00:00,139,High,138.99119687992027
2026-04-26T14:32:15.512715+00:00,138,High,138.39383781594418
2026-04-26T14:32:15.983746+00:00,138,High,137.67568647116093
2026-04-26T14:32:16.478143+00:00,137,High,137.17298052981266
2026-04-26T14:32:16.957055+00:00,137,High,137.12108637086885
2026-04-26T14:32:17.433124+00:00,138,High,137.68476045960819
2026-04-26T14:32:17.889357+00:00,139,High,138.67933232172572
2026-04-26T14:32:18.362299+00:00,139,High,138.775532625208
2026-04-26T14:32:18.804249+00:00,139,High,139.4428728376456
2026-04-26T14:32:19.275840+00:00,139,High,139.31001098635193
2026-04-26T14:32:19.719087+00:00,141,High,140.71700769044634
2026-04-26T14:32:20.172364+00:00,141,High,141.40190538331242
2026-04-26T14:32:20.609917+00:00,141,High,141.2813337683187
2026-04-26T14:32:21.041683+00:00,140,High,139.69693363782307
2026-04-26T14:32:21.566694+00:00,140,High,139.78785354647613
2026-04-26T14:32:22.338489+00:00,139,High,138.95149748253328
2026-04-26T14:32:22.830735+00:00,139,High,138.66604823777328
2026-04-26T14:32:23.516619+00:00,138,High,138.16623376644128
2026-04-26T14:32:24.022406+00:00,138,High,138.11636363650888
2026-04-26T14:32:24.510642+00:00,137,High,136.5814545455562
2026-04-26T14:32:24.993095+00:00,136,High,136.10701818188932
2026-04-26T14:32:25.451635+00:00,137,High,136.9749127273225
2026-04-26T14:32:25.885088+00:00,138,High,138.48243890912576
2026-04-26T14:32:26.309751+00:00,140,High,139.837707236388
2026-04-26T14:32:26.741826+00:00,141,High,141.0863950654716
2026-04-26T14:32:27.493730+00:00,142,High,141.6604765458301
2026-04-26T14:32:28.676711+00:00,142,High,142.36233358208108
2026-04-26T14:32:31.490065+00:00,142,High,141.65363350745673
2026-04-26T14:32:32.196751+00:00,141,High,141.4575434552197
2026-04-26T14:32:32.751896+00:00,141,High,140.72028041865377
